2019-01-22 09:31:01 UTC,COS3_D-Hub-2:COS3_D-Hub-1,47.98,4.27,0.0
2019-01-22 09:31:01 UTC,COS2_D-Hub-2:COS2_D-Hub-1,37.44,2.34,0.0
2019-01-22 09:36:01 UTC,COS3_D-Hub-2:COS3_D-Hub-1,35.53,0.94,0.0
2019-01-22 09:36:02 UTC,COS1_D-Hub-2:COS1_D-Hub-1,36.6,1.79,0.0
2019-01-22 09:36:02 UTC,COS2_D-Hub-2:COS2_D-Hub-1,39.0,0.93,0.0
2019-01-22 09:41:02 UTC,COS2_D-Hub-2:COS2_D-Hub-1,31.0,0.33,0.0
2019-01-22 09:41:02 UTC,COS1_D-Hub-2:COS1_D-Hub-1,39.51,1.22,0.0
2019-01-22 09:41:02 UTC,COS3_D-Hub-2:COS3_D-Hub-1,36.25,0.37,0.0
2019-01-22 09:46:02 UTC,COS3_D-Hub-2:COS3_D-Hub-1,20.06,4.72,0.0
2019-01-22 09:46:02 UTC,COS2_D-Hub-2:COS2_D-Hub-1,10.93,12.46,0.0
2019-01-22 09:46:02 UTC,COS1_D-Hub-2:COS1_D-Hub-1,34.17,10.77,0.0
2019-01-22 09:51:01 UTC,COS2_D-Hub-2:COS2_D-Hub-1,4.58,1.57,0.0
2019-01-22 09:51:01 UTC,COS3_D-Hub-2:COS3_D-Hub-1,7.41,1.82,0.0
2019-01-22 09:51:01 UTC,COS1_D-Hub-2:COS1_D-Hub-1,5.82,2.38,0.0
2019-01-22 09:56:01 UTC,COS3_D-Hub-2:COS3_D-Hub-1,6.43,4.24,0.0
2019-01-22 09:56:01 UTC,COS2_D-Hub-2:COS2_D-Hub-1,10.74,5.51,0.0
2019-01-22 09:56:01 UTC,COS1_D-Hub-2:COS1_D-Hub-1,41.58,6.54,0.0
2019-01-22 10:01:01 UTC,COS1_D-Hub-2:COS1_D-Hub-1,44.44,0.97,0.0
2019-01-22 10:01:01 UTC,COS3_D-Hub-2:COS3_D-Hub-1,34.21,2.34,0.0
